"","t","Rcr","Pen_S","Pen_I","Pen_R","Macro_S","Macro_R","Multi_S","Multi_R","Totcarrier_T","Cross_T","Reduction","Scenario","Lambda","pi"
"2562118",365,0.58,0.634395781972056,0.316954956412218,0.0486492616157259,0.755272947233864,0.244727052766136,0.600752897779705,0.211084168573784,0.513589852253254,0.577357038472819,3,2,0.0285211777840458,0.504988509245106
"2563118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,4,2,0.0285211777840458,0.504988509245106
"2928118",365,0.58,0.662643015554705,0.297316263042548,0.0400407214027468,0.770046460910067,0.229953539089933,0.627500101094551,0.194810624629779,0.52135246598083,0.577461364702733,4,2,0.0285211777840458,0.504988509245106
"2929118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,1,3,0.0285211777840458,0.504988509245106
"3294118",365,0.58,0.594294727201692,0.343762287469535,0.061942985328773,0.73431731825895,0.26568268174105,0.562772318430474,0.234160272969831,0.504971394545307,0.577168424148733,1,3,0.0285211777840458,0.504988509245106
"3295118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,2,3,0.0285211777840458,0.504988509245106
"3660118",365,0.58,0.542722757612408,0.401517345661426,0.0557598967261671,0.707400423736853,0.292599576263147,0.513933785343537,0.263810603994277,0.510218219465931,0.576916101524834,2,3,0.0285211777840458,0.504988509245106
"3661118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,3,3,0.0285211777840458,0.504988509245106
"4026118",365,0.58,0.514021638926354,0.433334992574369,0.0526433684992773,0.692434654427172,0.307565345572828,0.48675378734091,0.280297493987384,0.513918461265426,0.576769495185213,3,3,0.0285211777840458,0.504988509245106
"4027118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,4,3,0.0285211777840458,0.504988509245106
"4392118",365,0.58,0.460288719837183,0.493228480410891,0.0464827997519265,0.664426054833915,0.335573945166085,0.435868898691339,0.311154124020241,0.520503507610859,0.576519586409929,4,3,0.0285211777840458,0.504988509245106
"4393118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,1,4,0.0285211777840458,0.504988509245106
"4758118",365,0.58,0.594294727201692,0.343762287469535,0.061942985328773,0.73431731825895,0.26568268174105,0.562772318430474,0.234160272969831,0.504971394545307,0.577168424148733,1,4,0.0285211777840458,0.504988509245106
"4759118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,2,4,0.0285211777840458,0.504988509245106
"5124118",365,0.58,0.607002219789327,0.3393087048841,0.0536890753265732,0.708559870342166,0.291440129657834,0.565956076789391,0.250393986657898,0.504506803435278,0.637138424862527,2,4,0.0285211777840458,0.504988509245106
"5125118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,3,4,0.0285211777840458,0.504988509245106
"5490118",365,0.58,0.613368151873941,0.340254713463547,0.0463771346625114,0.679405767264916,0.320594232735084,0.560825012533974,0.268051093395116,0.50537922619057,0.693298016431694,3,4,0.0285211777840458,0.504988509245106
"5491118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,4,4,0.0285211777840458,0.504988509245106
