"","Scenario","Reduction","Lambda","pi","Outcome","Value"
"278","2","4","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.08739089356548"
"279","2","4","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","2.69766213893281"
"280","2","4","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.37453160821599"
"281","3","1","0.0196078431372549","0.56","PropAns","0.448010867277384"
"282","3","1","0.0196078431372549","0.56","PropMr","0.290213076013432"
"283","3","1","0.0196078431372549","0.56","PropAnsMr","0.26044121841308"
"284","3","1","0.0196078431372549","0.56","IncidenceInfectionsGraves","9.82566797138791"
"285","3","1","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.32436436422979"
"286","3","1","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","2.80781699164739"
"287","3","1","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.51163078063002"
"288","3","2","0.0196078431372549","0.56","PropAns","0.491543462904759"
"289","3","2","0.0196078431372549","0.56","PropMr","0.31309005980434"
"290","3","2","0.0196078431372549","0.56","PropAnsMr","0.285663788356078"
"291","3","2","0.0196078431372549","0.56","IncidenceInfectionsGraves","9.90049175451409"
"292","3","2","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.56228929001008"
"293","3","2","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","2.93693292586203"
"294","3","2","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.64952051723695"
"295","3","3","0.0196078431372549","0.56","PropAns","0.515473040865363"
"296","3","3","0.0196078431372549","0.56","PropMr","0.325653291329164"
"297","3","3","0.0196078431372549","0.56","PropAnsMr","0.299516387373243"
"298","3","3","0.0196078431372549","0.56","IncidenceInfectionsGraves","9.94177196449611"
"299","3","3","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.68587999407758"
"300","3","3","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","3.00410887288933"
"301","3","3","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.72112462111173"
"302","3","4","0.0196078431372549","0.56","PropAns","0.55886114562885"
"303","3","4","0.0196078431372549","0.56","PropMr","0.348428719498098"
"304","3","4","0.0196078431372549","0.56","PropAnsMr","0.324629869155744"
"305","3","4","0.0196078431372549","0.56","IncidenceInfectionsGraves","10.0214471639807"
"306","3","4","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.92994137590636"
"307","3","4","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","3.13663503723072"
"308","3","4","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.86249487570472"
"309","4","1","0.0196078431372549","0.56","PropAns","0.448010867277384"
"310","4","1","0.0196078431372549","0.56","PropMr","0.290213076013432"
"311","4","1","0.0196078431372549","0.56","PropAnsMr","0.26044121841308"
"312","4","1","0.0196078431372549","0.56","IncidenceInfectionsGraves","9.82566797138791"
"313","4","1","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.32436436422979"
"314","4","1","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","2.80781699164739"
"315","4","1","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.51163078063002"
"316","4","2","0.0196078431372549","0.56","PropAns","0.43251806351051"
"317","4","2","0.0196078431372549","0.56","PropMr","0.313642985355309"
"318","4","2","0.0196078431372549","0.56","PropAnsMr","0.27534785743757"
"319","4","2","0.0196078431372549","0.56","IncidenceInfectionsGraves","9.80673143385228"
"320","4","2","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.23711346199184"
"321","4","2","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","2.91472612635551"
"322","4","2","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.57862668708862"
"323","4","3","0.0196078431372549","0.56","PropAns","0.422434721695962"
"324","4","3","0.0196078431372549","0.56","PropMr","0.339436275644616"
"325","4","3","0.0196078431372549","0.56","PropAnsMr","0.290935684028627"
"326","4","3","0.0196078431372549","0.56","IncidenceInfectionsGraves","9.79961753221833"
"327","4","3","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.17272872819919"
"328","4","3","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","3.03226520437173"
"329","4","3","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.65061062986877"
"330","4","4","0.0196078431372549","0.56","PropAns","0.417587064826523"
"331","4","4","0.0196078431372549","0.56","PropMr","0.36804475046616"
"332","4","4","0.0196078431372549","0.56","PropAnsMr","0.307558047370585"
"333","4","4","0.0196078431372549","0.56","IncidenceInfectionsGraves","9.80417084816128"
"334","4","4","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.13054272352088"
"335","4","4","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","3.1621287760098"
"336","4","4","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.72878723737907"
"337","1","1","0.0232558139534884","0.35","PropAns","0.452023717702377"
"338","1","1","0.0232558139534884","0.35","PropMr","0.292527355975721"
"339","1","1","0.0232558139534884","0.35","PropAnsMr","0.262935930788642"
"340","1","1","0.0232558139534884","0.35","IncidenceInfectionsGraves","6.133968696408"
